mana_cost1,name1,type_line0,mana_cost0,type_line1,oracle_text0,name0,oracle_text1
,"Krothuss, Lord of the Deep",Legendary Creature — Vampire Cleric,{1}{U}{B},Legendary Creature — Kraken Horror,"Flying
When Runo Stromkirk enters the battlefield, put up to one target creature card from your graveyard on top of your library.
At the beginning of your upkeep, look at the top card of your library. You may reveal that card. If a creature card with mana value 6 or greater is revealed this way, transform Runo Stromkirk.",Runo Stromkirk,"Flying
Whenever Krothuss, Lord of the Deep attacks, create a tapped and attacking token that's a copy of another target attacking creature. If that creature is a Kraken, Leviathan, Octopus, or Serpent, create two of those tokens instead."
,,Instant,{3}{U},,The owner of target nonland permanent puts it on the top or bottom of their library.,Run Out of Town,
,,Creature — Human Peasant,{3}{G},,"Training (Whenever this creature attacks with another creature with greater power, put a +1/+1 counter on this creature.)
When Rural Recruit enters the battlefield, create a 3/1 green Boar creature token.",Rural Recruit,
,,Artifact Creature — Construct,{10},,"Prototype {3}{G}{G} — 3/5 (You may cast this spell with different mana cost, color, and size. It keeps its abilities and types.)
Reach, trample",Rust Goliath,
,,Creature — Phyrexian Elf Druid,{G},,"{T}: Put an oil counter on Rustvine Cultivator.
{T}, Remove an oil counter from Rustvine Cultivator: Untap target land.",Rustvine Cultivator,
,,Sorcery,{1}{G},,Target creature you control gets +1/+2 until end of turn. It fights target creature you don't control. (Each deals damage equal to its power to the other.),Ruthless Predation,
,,Instant,{R}{W},,"Sacred Fire deals 2 damage to any target and you gain 2 life.
Flashback {4}{R}{W} (You may cast this card from your graveyard for its flashback cost. Then exile it.)",Sacred Fire,
,,Land — Mountain Plains,,,"({T}: Add {R} or {W}.)
Sacred Peaks enters the battlefield tapped.",Sacred Peaks,
,,Legendary Planeswalker — Saheeli,{2}{U}{R},,"+1: Scry 1. You may tap an untapped artifact you control. If you do, draw a card.
-2: Create two 1/1 colorless Thopter artifact creature tokens with flying. They gain haste until end of turn.
-4: You get an emblem with ""Artifact creatures you control get +1/+1"" and ""Artifact spells you cast cost {1} less to cast.""","Saheeli, Filigree Master",
,,Creature — Moonfolk Ninja,{1}{U},,"Flash
Backup 1 (When this creature enters the battlefield, put a +1/+1 counter on target creature. If that's another creature, it gains the following ability until end of turn.)
Hexproof",Saiba Cryptomancer,
,,Artifact Creature — Moonfolk Rogue,{4}{U},,"Channel — {3}{U}, Discard Saiba Trespassers: Tap up to two target creatures you don't control. Those creatures don't untap during their controller's next untap step.",Saiba Trespassers,
,,Artifact Creature — Construct,{2},,{1}: Add one mana of any color. Activate only once each turn.,Salvaged Manaworker,
,,Creature — Human Cleric,{1}{W},,"Whenever Samite Herbalist becomes tapped, you gain 1 life and scry 1. (Look at the top card of your library. You may put that card on the bottom of your library.)",Samite Herbalist,
,,Legendary Creature — Human Warrior Cleric,{1}{R}{G},,"First strike, vigilance, haste
Whenever a creature you control deals combat damage to a player, if that creature entered the battlefield this turn, draw a card.","Samut, Vizier of Naktamun",
,,Sorcery,{1}{W},,Destroy target artifact or enchantment. You gain 3 life.,Sanctify,
,,Creature — Angel Soldier,{4}{W}{W},,"Flying
Sanctuary Warden enters the battlefield with two shield counters on it.
Whenever Sanctuary Warden enters the battlefield or attacks, you may remove a counter from a creature or planeswalker you control. If you do, draw a card and create a 1/1 green and white Citizen creature token.",Sanctuary Warden,
,,Creature — Lizard,{1}{G}{G},,"Flash
When Sandstalker Moloch enters the battlefield, if an opponent cast a blue and/or black spell this turn, look at the top four cards of your library. You may reveal a permanent card from among them and put it into your hand. Put the rest on the bottom of your library in a random order.",Sandstalker Moloch,
,,Creature — Vampire Rogue,{2}{B},,"Menace, lifelink
{1}, Sacrifice another creature: Surveil 1. (Look at the top card of your library. You may put that card into your graveyard.)
At the beginning of your end step, if there are five or more mana values among cards in your graveyard, you may pay 2 life. If you do, draw a card.",Sanguine Spy,
,,Artifact,{1}{R},,"When Sanguine Statuette enters the battlefield, create a Blood token. (It's an artifact with ""{1}, {T}, Discard a card, Sacrifice this artifact: Draw a card."")
Whenever you sacrifice a Blood token, you may have Sanguine Statuette become a 3/3 Vampire artifact creature with haste until end of turn.",Sanguine Statuette,
,,Creature — Minotaur Barbarian,{1}{R},,"As long as it's your turn and you control four or more Mountains, Sardian Cliffstomper gets +X/+0, where X is the number of Mountains you control.",Sardian Cliffstomper,
,,Creature — Wurm,{4}{R}{G},,"Trample
Whenever a land enters the battlefield, create a tapped Powerstone token. (It's an artifact with ""{T}: Add {C}. This mana can't be spent to cast a nonartifact spell."")",Sarinth Greatwurm,
,,Creature — Human Artificer Scout,{1}{G},,"Whenever an artifact enters the battlefield under your control, look at the top card of your library. If it's a land card, you may reveal it and put it into your hand. If you don't put the card into your hand, you may put it into your graveyard.",Sarinth Steelseeker,
,,Legendary Creature — Human Shaman,{1}{U}{R},,"Dragon spells you cast cost {1} less to cast.
Whenever a Dragon enters the battlefield under your control, you may have Sarkhan, Soul Aflame become a copy of it until end of turn, except its name is Sarkhan, Soul Aflame and it's legendary in addition to its other types.","Sarkhan, Soul Aflame",
,,Legendary Creature — Human Warlock,{2}{G}{G},,"Other tapped creatures you control have deathtouch.
Other untapped creatures you control have hexproof.
{1}, {T}: Untap another target creature or land you control.","Saryth, the Viper's Fang",
,,Legendary Creature — Human Ninja,{1}{U}{B},,"Whenever you activate a ninjutsu ability, look at the top three cards of your library. Put one of them into your hand and the rest on the bottom of your library in any order. This ability triggers only once each turn.
Each creature card in your hand has ninjutsu {2}{U}{B}.",Satoru Umezawa,
,,Legendary Creature — Human Druid,{G}{W},,"{T}: Put a lore counter on each Saga you control. Activate only as a sorcery.
When Satsuki, the Living Lore dies, choose up to one —
• Return target Saga or enchantment creature you control to its owner's hand.
• Return target Saga card from your graveyard to your hand.","Satsuki, the Living Lore",
,,Creature — Human Soldier,{1}{W}{W},,"Training (Whenever this creature attacks with another creature with greater power, put a +1/+1 counter on this creature.)
Whenever Savior of Ollenbock trains, exile up to one other target creature from the battlefield or creature card from a graveyard.
When Savior of Ollenbock leaves the battlefield, put the exiled cards onto the battlefield under their owners' control.",Savior of Ollenbock,
,,Creature — Phyrexian Beast,{R},,"Haste
Whenever you cast a noncreature spell, put an oil counter on Sawblade Scamp.
{T}, Remove an oil counter from Sawblade Scamp: It deals 1 damage to each opponent.",Sawblade Scamp,
,,Creature — Human Archer,{3}{G},,"When Sawblade Slinger enters the battlefield, choose up to one —
• Destroy target artifact an opponent controls.
• Sawblade Slinger fights target Zombie an opponent controls.",Sawblade Slinger,
,,Instant,{3}{U},,Look at the top four cards of your library. Put two of those cards into your hand and the rest into your graveyard.,Scattered Thoughts,
,,Instant,{1}{U},,Counter target artifact or creature spell unless its controller pays {4}.,Scatter Ray,
,,Creature — Phyrexian Advisor,{1}{B},,"Whenever you proliferate, each opponent loses 2 life and you gain 2 life.",Scheming Aspirant,
,,Creature — Human Citizen,{W}{U},,"As Scheming Fence enters the battlefield, you may choose a nonland permanent.
Activated abilities of the chosen permanent can't be activated.
Scheming Fence has all activated abilities of the chosen permanent except for loyalty abilities. You may spend mana as though it were mana of any color to activate those abilities.",Scheming Fence,
,,Creature — Human Berserker,{B},,"Backup 1 (When this creature enters the battlefield, put a +1/+1 counter on target creature. If that's another creature, it gains the following ability until end of turn.)
{1}, Sacrifice this creature: Draw a card.",Scorn-Blade Berserker,
,,Land,,,"Scoured Barrens enters the battlefield tapped.
When Scoured Barrens enters the battlefield, you gain 1 life.
{T}: Add {W} or {B}.",Scoured Barrens,
,,Sorcery,{2}{G},,"Kicker {1}{W} (You may pay an additional {1}{W} as you cast this spell.)
Search your library for a basic land card, put it onto the battlefield tapped, then shuffle. If this spell was kicked, create two 1/1 white Soldier creature tokens.",Scout the Wilderness,
,,Creature — Raccoon Warrior,{3}{R},,"Whenever Scrappy Bruiser attacks, up to one target attacking creature gets +2/+0 and gains trample until end of turn. Return that creature to its owner's hand at end of combat. (Return it only if it's on the battlefield.)",Scrappy Bruiser,
,,Creature — Goblin Artificer,{2}{R},,"{T}, Sacrifice an artifact with mana value X: Return target artifact card with mana value less than X from your graveyard to the battlefield. It gains haste until end of turn.",Scrap Welder,
,,Artifact Creature — Soldier,{4},,"When Scrapwork Cohort enters the battlefield, create a 1/1 colorless Soldier artifact creature token.
Unearth {2}{W} ({2}{W}: Return this card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.)",Scrapwork Cohort,
,,Artifact Creature — Dog,{2},,"When Scrapwork Mutt enters the battlefield, you may discard a card. If you do, draw a card.
Unearth {1}{R} ({1}{R}: Return this card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.)",Scrapwork Mutt,
,,Artifact Creature — Phyrexian Horror,{4},,"When Scrapwork Rager enters the battlefield, you draw a card and you lose 1 life.
Unearth {3}{B} ({3}{B}: Return this card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.)",Scrapwork Rager,
,,Artifact Creature — Human Warrior,{3}{R},,"{1}, Sacrifice another artifact: Scrapyard Steelbreaker gets +2/+1 until end of turn.",Scrapyard Steelbreaker,
,,Creature — Bird Horror,{5}{U},,"Flying
Whenever you attack with one or more creatures, target player mills that many cards. (To mill a card, a player puts the top card of their library into their graveyard.)
{2}{U}: Put Screaming Swarm from your graveyard into your library second from the top.",Screaming Swarm,
,,Instant,{2}{W},,"Exile up to one target artifact, creature, or enchantment you control, then return it to the battlefield under its owner's control.
Draw a card.",Scrollshift,
,,Enchantment,{2}{W}{B},,"When Sculpted Perfection enters the battlefield, incubate 2. (Create an Incubator token with two +1/+1 counters on it and ""{2}: Transform this artifact."" It transforms into a 0/0 Phyrexian artifact creature.)
Phyrexians you control get +1/+1.",Sculpted Perfection,
,,Artifact Creature — Construct,{3},,"At the beginning of combat on your turn, if you control two or more multicolored permanents, Scuttling Butler gains double strike until end of turn.",Scuttling Butler,
,,Land,,,"Seachrome Coast enters the battlefield tapped unless you control two or fewer other lands.
{T}: Add {W} or {U}.",Seachrome Coast,
,,Enchantment,{1}{W}{W},,"Ward {3} (Whenever this enchantment becomes the target of a spell or ability an opponent controls, counter it unless that player pays {3}.)
When Seal from Existence enters the battlefield, exile target nonland permanent an opponent controls until Seal from Existence leaves the battlefield.",Seal from Existence,
,,Artifact Creature — Drone,{3},,"Flying
When Searchlight Companion enters the battlefield, create a 1/1 colorless Spirit creature token.",Searchlight Companion,
,,Creature — Human Soldier,{3}{W},,"This spell costs {1} less to cast for each creature you attacked with this turn.
When Search Party Captain enters the battlefield, draw a card.",Search Party Captain,
,,Sorcery,{2}{R},,"Searing Barb deals 2 damage to any target. If it's a creature, it can't block this turn. Incubate 1. (Create an Incubator token with a +1/+1 counter on it and ""{2}: Transform this artifact."" It transforms into a 0/0 Phyrexian artifact creature.)",Searing Barb,
,,Instant,{2}{G},,"Choose one or both —
• Return target creature card from your graveyard to your hand.
• Return target enchantment card from your graveyard to your hand.",Season of Renewal,
,,Land,,,"As Secluded Courtyard enters the battlefield, choose a creature type.
{T}: Add {C}.
{T}: Add one mana of any color. Spend this mana only to cast a creature spell of the chosen type or activate an ability of a creature or creature card of the chosen type.",Secluded Courtyard,
,,Instant,{U},,"Investigate. If this spell was cast from a graveyard, investigate twice instead. (Create a Clue token. It's an artifact with ""{2}, Sacrifice this artifact: Draw a card."")
Flashback {3}{U}",Secrets of the Key,
,,Enchantment — Aura,{1}{U},,"Enchant creature
As long as enchanted creature is attacking alone, it can't be blocked.
Enchanted creature has ""Whenever this creature deals combat damage to a player, it connives."" (Its controller draws a card, then discards a card. If they discarded a nonland card, they put a +1/+1 counter on this creature.)",Security Bypass,
,,Creature — Rhino Warrior,{2}{R}{G},,You may pay {R}{G} rather than pay this spell's mana cost. Spend only mana produced by Treasures to cast it this way.,Security Rhox,
,,Instant,{G},,"Mill two cards. You may put a permanent card from among the milled cards into your hand. You gain 2 life. (To mill two cards, put the top two cards of your library into your graveyard.)",Seed of Hope,
,,Instant,{2}{U}{U},,"This spell can't be copied.
Choose one. If an opponent has eight or more cards in their graveyard, you may choose both.
• Copy target spell. You may choose new targets for the copy. (A copy of a permanent spell becomes a token.)
• Create a token that's a copy of target creature.",See Double,
,,Creature — Phyrexian Cleric,{2}{W},,"When Seedpod Caretaker enters the battlefield, choose one —
• Put a +1/+1 counter on target artifact or creature you control.
• Transform target Incubator token you control.",Seedpod Caretaker,
,,Creature — Phyrexian Warlock,{2}{B},,"Menace (This creature can't be blocked except by two or more creatures.)
Whenever one or more artifacts and/or creatures you control are put into a graveyard from the battlefield, surveil 1. (Look at the top card of your library. You may put that card into your graveyard.)",Seer of Stolen Sight,
,,Instant,{2}{R},,Seismic Wave deals 2 damage to any target and 1 damage to each nonartifact creature target opponent controls.,Seismic Wave,
,,Sorcery,{4}{R},,"Create a red Elemental creature token with trample and ""This creature's power and toughness are each equal to the number of instant and sorcery cards in your graveyard plus the number of cards with flashback you own in exile.""
Flashback {6}{R} (You may cast this card from your graveyard for its flashback cost. Then exile it.)",Seize the Storm,
,,Creature — Fox Samurai,{1}{W},,"Whenever a Samurai or Warrior you control attacks alone, it gains lifelink until end of turn.
Sacrifice Selfless Samurai: Another target creature you control gains indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it.)",Selfless Samurai,
,,Creature — Zombie,{1}{U},,"{T}, Discard a creature card: Draw a card.",Selhoff Entomber,
,,Creature — Vampire,{3}{B}{B},,"Flying
Whenever one or more other creatures die, put a +1/+1 counter on Sengir Connoisseur. This ability triggers only once each turn.",Sengir Connoisseur,
,Seraph of New Phyrexia,Creature — Angel Soldier,{2}{W},Creature — Phyrexian Angel,"Flying
{4}{B/P}: Transform Seraph of New Capenna. Activate only as a sorcery. ({B/P} can be paid with either {B} or 2 life.)",Seraph of New Capenna,"Flying
Whenever Seraph of New Phyrexia attacks, you may sacrifice another creature or artifact. If you do, Seraph of New Phyrexia gets +2/+1 until end of turn."
,,Creature — Elf Warrior,{2}{G},,"Backup 1 (When this creature enters the battlefield, put a +1/+1 counter on target creature. If that's another creature, it gains the following ability until end of turn.)
Deathtouch",Serpent-Blade Assailant,
,,Instant,{1}{U},,"Until end of turn, target creature becomes a blue Serpent with base power and toughness 5/5.",Serpentine Ambush,
,,Creature — Angel,{2}{W}{W},,"Flying
Once during each of your turns, you may play a land from your graveyard or cast a permanent spell with mana value 3 or less from your graveyard. If you do, it gains ""When this permanent is put into a graveyard from the battlefield, exile it and you gain 2 life.""",Serra Paragon,
,,Creature — Angel Soldier,{3}{W}{W},,"Flying
Whenever another creature with power 2 or less enters the battlefield under your control, put two +1/+1 counters on that creature.",Serra Redeemer,
,,Creature — Phyrexian Chimera,{2}{U}{R},,"Flying
Whenever you cast a noncreature spell, put an oil counter on Serum-Core Chimera.
Remove three oil counters from Serum-Core Chimera: Draw a card. Then you may discard a nonland card. When you discard a card this way, Serum-Core Chimera deals 3 damage to target creature or planeswalker. Activate only as a sorcery.",Serum-Core Chimera,
,,Instant,{1}{U},,"Return target nonland permanent to its owner's hand. If that permanent had mana value 3 or less, proliferate. (Choose any number of permanents and/or players, then give each another counter of each kind already there.)",Serum Snare,
,,Creature — Phyrexian Sphinx,{4}{U},,"Flying
Whenever you cast a noncreature spell, put an oil counter on Serum Sovereign.
{U}, Remove an oil counter from Serum Sovereign: Draw a card, then scry 2.",Serum Sovereign,
,,Creature — Fox Samurai,{3}{W},,"When Seven-Tail Mentor enters the battlefield or dies, put a +1/+1 counter on target creature or Vehicle you control.",Seven-Tail Mentor,
,,Creature — Crocodile,{5}{U},,{3}{U}: Sewer Crocodile can't be blocked this turn. This ability costs {3} less to activate if there are five or more mana values among cards in your graveyard.,Sewer Crocodile,
,,Sorcery,{3}{G},,"Create a 4/4 green Beast creature token.
Flashback {6}{G} (You may cast this card from your graveyard for its flashback cost. Then exile it.)",Shadowbeast Sighting,
,,Creature — Avatar,{13}{B}{B},,"If your life total is less than your starting life total, this spell costs {X} less to cast, where X is the difference.",Shadow of Mortality,
,,Instant,{2}{B},,"Domain — Look at the top X cards of your library, where X is the number of basic land types among lands you control. Put up to two of them into your hand and the rest into your graveyard. You lose 2 life.",Shadow Prophecy,
,,Creature — Human Cleric,{1}{B},,"Other Clerics you control get +1/+1.
{3}{B}{B}, {T}, Sacrifice another Cleric: Search your library for a black creature card, put it onto the battlefield, then shuffle.",Shadow-Rite Priest,
,Stalking Predator,Creature — Human Werewolf,{2}{B},Creature — Werewolf,"Menace (This creature can't be blocked except by two or more creatures.)
Daybound (If a player casts no spells during their own turn, it becomes night next turn.)",Shady Traveler,"Menace (This creature can't be blocked except by two or more creatures.)
Nightbound (If a player casts at least two spells during their own turn, it becomes day next turn.)"
,,Creature — Ogre Warrior,{2}{B},,"Menace
Whenever Shakedown Heavy attacks, defending player may have you draw a card. If they do, untap Shakedown Heavy and remove it from combat.",Shakedown Heavy,
,,Creature — Angel,{4}{W},,"Kicker {1}{G} (You may pay an additional {1}{G} as you cast this spell.)
Flying
If Shalai's Acolyte was kicked, it enters the battlefield with two +1/+1 counters on it.",Shalai's Acolyte,
,,Legendary Creature — Human Warrior,{G}{W}{U},,"Lifelink
At the beginning of your end step, you may pay {X}. If you do, draw X cards. X can't be greater than the amount of life you gained this turn.","Shanna, Purifying Blade",
,,Land,,,"Shattered Sanctum enters the battlefield tapped unless you control two or more other lands.
{T}: Add {W} or {B}.",Shattered Sanctum,
,,Creature — Angel Rogue,{4}{W}{U}{B},,"Flying
When Shattered Seraph enters the battlefield, you gain 3 life.
{2}, Exile Shattered Seraph from your hand: Target land gains ""{T}: Add {W}, {U}, or {B}"" until Shattered Seraph is cast from exile. You may cast Shattered Seraph for as long as it remains exiled.",Shattered Seraph,
,,Instant,{5}{R},,"Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)
Choose one —
• Shatter the Source deals 6 damage to target creature, planeswalker, or battle.
• Destroy target artifact.",Shatter the Source,
,,Enchantment — Aura,{2}{G},,"Enchant creature
When Sheltering Boughs enters the battlefield, draw a card.
Enchanted creature gets +1/+3.",Sheltering Boughs,
,,Instant,{1}{B},,"Choose one —
• Each opponent sacrifices a nontoken creature.
• Each opponent sacrifices a creature token.
• Each opponent sacrifices a planeswalker.",Sheoldred's Edict,
,,Creature — Phyrexian Warrior,{3}{B},,"Menace
Toxic 2 (Players dealt combat damage by this creature also get two poison counters.)",Sheoldred's Headcleaver,
,,Sorcery,{3}{B},,"Kicker {2}{W} (You may pay an additional {2}{W} as you cast this spell.)
Return target creature card from your graveyard to the battlefield. If this spell was kicked, you gain life equal to that card's mana value. Otherwise, you lose that much life.
Exile Sheoldred's Restoration.",Sheoldred's Restoration,
,,Legendary Creature — Phyrexian Praetor,{2}{B}{B},,"Deathtouch
Whenever you draw a card, you gain 2 life.
Whenever an opponent draws a card, they lose 2 life.","Sheoldred, the Apocalypse",
,The True Scriptures,Legendary Creature — Phyrexian Praetor,{3}{B}{B},Enchantment — Saga,"Menace
When Sheoldred enters the battlefield, each opponent sacrifices a nontoken creature or planeswalker.
{4}{B}: Exile Sheoldred, then return it to the battlefield transformed under its owner's control. Activate only as a sorcery and only if an opponent has eight or more cards in their graveyard.",Sheoldred,"(As this Saga enters and after your draw step, add a lore counter.)
I — For each opponent, destroy up to one target creature or planeswalker that player controls.
II — Each opponent discards three cards, then mills three cards.
III — Put all creature cards from all graveyards onto the battlefield under your control. Exile The True Scriptures, then return it to the battlefield (front face up)."
,,Artifact Creature — Golem,{4},,"Defender
When Shield-Wall Sentinel enters the battlefield, you may search your library for a creature card with defender, reveal it, put it into your hand, then shuffle.",Shield-Wall Sentinel,
,,Legendary Enchantment Creature — Snake Druid,{1}{G},,"{1}{G}, {T}, Return Shigeki, Jukai Visionary to its owner's hand: Reveal the top four cards of your library. You may put a land card from among them onto the battlefield tapped. Put the rest into your graveyard.
Channel — {X}{X}{G}{G}, Discard Shigeki: Return X target nonlegendary cards from your graveyard to your hand.","Shigeki, Jukai Visionary",
,,Land,,,"Shipwreck Marsh enters the battlefield tapped unless you control two or more other lands.
{T}: Add {U} or {B}.",Shipwreck Marsh,
,,Creature — Spirit,{1}{U},,"When Shipwreck Sifters enters the battlefield, draw a card, then discard a card.
Whenever you discard a Spirit card or a card with disturb, put a +1/+1 counter on Shipwreck Sifters.",Shipwreck Sifters,
,,Creature — Dragon,{5}{R}{R},,"Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)
Flying, haste",Shivan Branch-Burner,
,,Creature — Dragon Hydra,{X}{R},,"Flying, haste
Shivan Devastator enters the battlefield with X +1/+1 counters on it.",Shivan Devastator,
,,Land,,,"{T}: Add {C}.
{T}: Add {U} or {R}. Shivan Reef deals 1 damage to you.",Shivan Reef,
,,Sorcery,{3}{G},,"Exile target artifact, enchantment, or creature with flying.",Shoot Down,
,,Instant,{U},,Target creature you control gets +1/+1 and gains hexproof until end of turn. Untap it. (It can't be the target of spells or abilities your opponents control.),Shore Up,
,,Enchantment — Aura,{1}{U},,"Flash
Enchant artifact or creature
As long as enchanted permanent is a creature, it gets -3/-0 and loses flying.",Short Circuit,
,,Artifact Creature — Phyrexian Beast,{1}{R},,"When Shrapnel Slinger enters the battlefield, you may sacrifice a creature. When you do, destroy target artifact an opponent controls.",Shrapnel Slinger,
,,Artifact Creature — Construct,{5},,"When Shrine Steward enters the battlefield, you may search your library for an Aura or Shrine card, reveal it, put it into your hand, then shuffle.",Shrine Steward,
,,Sorcery,{3}{R},,"Gain control of target artifact or creature until end of turn. Untap it. It gains haste until end of turn. Create a tapped Powerstone token. (It's an artifact with ""{T}: Add {C}. This mana can't be spent to cast a nonartifact spell."")",Sibling Rivalry,
,,Creature — Human Soldier,{2}{W},,"At the beginning of combat on your turn, put a +1/+1 counter on target creature you control.
Whenever another nontoken Soldier you control dies, create a 1/1 colorless Soldier artifact creature token.",Siege Veteran,
,,Creature — Zombie,{1}{B},,Tap three untapped creatures you control: Each opponent loses 1 life.,Siege Zombie,
,,Legendary Creature — Angel,{1}{G}{W}{W},,"Flying, trample
Humans you control get +1/+1.
Coven — Whenever Sigarda attacks, if you control three or more creatures with different powers, look at the top five cards of your library. You may reveal a Human creature card from among them and put it into your hand. Put the rest on the bottom of your library in a random order.","Sigarda, Champion of Light",
,,Legendary Creature — Angel,{2}{G}{W},,"Flying
Other permanents you control have hexproof.
You may look at the top card of your library any time.
You may cast Angel spells and Human spells from the top of your library.","Sigarda, Font of Blessings",
,,Enchantment — Aura,{2}{W},,"Enchant creature
Enchanted creature can't attack or block.
{4}{W}: Exile enchanted creature. Create a Blood token. (It's an artifact with ""{1}, {T}, Discard a card, Sacrifice this artifact: Draw a card."")",Sigarda's Imprisonment,
,,Enchantment,{2}{W}{W},,"As Sigarda's Splendor enters the battlefield, note your life total.
At the beginning of your upkeep, draw a card if your life total is greater than or equal to the last noted life total for Sigarda's Splendor. Then note your life total.
Whenever you cast a white spell, you gain 1 life.",Sigarda's Splendor,
,,Enchantment,{4}{W}{W},,"Creatures you control with +1/+1 counters on them have base power and toughness 4/4, have flying, and are Angels in addition to their other types.",Sigarda's Summons,
,,Creature — Human Knight,{2}{G}{W},,"As long as you've put one or more +1/+1 counters on a creature this turn, Sigardian Paladin has trample and lifelink.
{1}{G}{W}: Target creature you control with a +1/+1 counter on it gains trample and lifelink until end of turn.",Sigardian Paladin,
,,Creature — Angel,{3}{W}{W},,"Flying
When Sigardian Savior enters the battlefield, if you cast it, return up to two target creature cards with mana value 2 or less from your graveyard to the battlefield.",Sigardian Savior,
,,Creature — Human Knight,{2}{W},,"Backup 1 (When this creature enters the battlefield, put a +1/+1 counter on target creature. If that's another creature, it gains the following ability until end of turn.)
Vigilance",Sigiled Sentinel,
,,Creature — Ape Shaman,{2}{G}{G}{G},,"Whenever you cast a creature spell, choose one —
• Destroy target artifact or enchantment.
• Look at the top five cards of your library. You may put a land card from among them onto the battlefield tapped. Put the rest on the bottom of your library in a random order.
• You gain 4 life.",Silverback Elder,
,,Artifact,{1},,"{3}, {T}, Sacrifice Silver Bolt: It deals 3 damage to target creature. If a Werewolf is dealt damage this way, destroy it.",Silver Bolt,
,,Creature — Rat Ninja,{U}{B},,"Ninjutsu {U}{B} ({U}{B}, Return an unblocked attacker you control to hand: Put this card onto the battlefield from your hand tapped and attacking.)
Ninjutsu abilities you activate cost {1} less to activate.
Other Ninja and Rogue creatures you control get +1/+1.",Silver-Fur Master,
,,Sorcery,{X}{U}{U},,"You may cast Silver Scrutiny as though it had flash if X is 3 or less.
Draw X cards.",Silver Scrutiny,
,,Artifact Creature — Ape,{3},,"When Simian Simulacrum enters the battlefield, put two +1/+1 counters on target creature you control.
Unearth {2}{G}{G} ({2}{G}{G}: Return this card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.)",Simian Simulacrum,
,,Artifact Creature — Equipment Monkey,{R},,"Equipped creature gets +1/+1.
Whenever Simian Sling or equipped creature becomes blocked, it deals 1 damage to defending player.
Reconfigure {2} ({2}: Attach to target creature you control; or unattach from a creature. Reconfigure only as a sorcery. While attached, this isn't a creature.)",Simian Sling,
,,Creature — Phyrexian Soldier,{W},,"{3}{W}, {T}: Tap target creature.
Corrupted — {W}, {T}: Tap target creature. Activate only if an opponent has three or more poison counters.",Sinew Dancer,
,,Instant,{U}{B},,"Look at the top two cards of target opponent's library. Exile one of them face down and put the other on the bottom of that library. You may look at and play the exiled card for as long as it remains exiled, and you may spend mana as though it were mana of any color to cast that spell.
Flashback {1}{U}{B}",Siphon Insight,
,,Creature — Human Citizen,{3}{R},,"Alliance — Whenever another creature enters the battlefield under your control, target creature an opponent controls can't block this turn. If this is the second time this ability has resolved this turn, that creature attacks during its controller's next combat phase if able.",Sizzling Soloist,
,,Creature — Human Wizard,{1}{U},,Tap three untapped creatures you control: Tap target creature.,Skaab Wrangler,
,,Artifact Creature — Construct,{9},,"Prototype {3}{R}{R} — 2/2 (You may cast this spell with different mana cost, color, and size. It keeps its abilities and types.)
Trample, haste
When Skitterbeam Battalion enters the battlefield, if you cast it, create two tokens that are copies of it.",Skitterbeam Battalion,
,,Artifact Creature — Construct,{3},,"When Skittering Surveyor enters the battlefield, you may search your library for a basic land card, reveal it, put it into your hand, then shuffle.",Skittering Surveyor,
,,Legendary Artifact Creature — Phyrexian Mite,{W},,"Toxic 1 (Players dealt combat damage by this creature also get a poison counter.)
Skrelv, Defector Mite can't block.
{W/P}, {T}: Choose a color. Another target creature you control gains toxic 1 and hexproof from that color until end of turn. It can't be blocked by creatures of that color this turn. ({W/P} can be paid with either {W} or 2 life.)","Skrelv, Defector Mite",
,,Enchantment,{1}{W},,"At the beginning of your upkeep, you lose 1 life and create a 1/1 colorless Phyrexian Mite artifact creature token with toxic 1 and ""This creature can't block.""
Corrupted — As long as an opponent has three or more poison counters, creatures you control with toxic have lifelink.",Skrelv's Hive,
,,Creature — Vampire Assassin,{3}{B},,"When Skulking Killer enters the battlefield, target creature an opponent controls gets -2/-2 until end of turn if that opponent controls no other creatures.",Skulking Killer,
,,Creature — Zombie,{U}{B},,"Exploit (When this creature enters the battlefield, you may sacrifice a creature.)
Whenever a creature you control exploits a nontoken creature, create a 2/2 black Zombie creature token.",Skull Skaab,
,,Enchantment Creature — Human Samurai,{6}{W},,"This spell costs {1} less to cast for each enchantment you control.
Flying",Sky-Blessed Samurai,
,,Land,,,"Skybridge Towers enters the battlefield tapped.
{T}: Add {W} or {U}.
{2}{W}{U}, {T}, Sacrifice Skybridge Towers: Draw a card.",Skybridge Towers,
