type_line0,name0,name1,oracle_text0,power1,oracle_text1,toughness0,power0,mana_cost0,type_line1,toughness1,mana_cost1
Creature — Elemental,Shriekmaw,,"Fear (This creature can't be blocked except by artifact creatures and/or black creatures.)
When Shriekmaw enters the battlefield, destroy target nonartifact, nonblack creature.
Evoke {1}{B} (You may cast this spell for its evoke cost. If you do, it's sacrificed when it enters the battlefield.)",,,2,3,{4}{B},,,
Creature — Goblin,Siege-Gang Commander,,"When Siege-Gang Commander enters the battlefield, create three 1/1 red Goblin creature tokens.
{1}{R}, Sacrifice a Goblin: Siege-Gang Commander deals 2 damage to any target.",,,2,2,{3}{R}{R},,,
Enchantment,Silkwrap,,"When Silkwrap enters the battlefield, exile target creature with mana value 3 or less an opponent controls until Silkwrap leaves the battlefield. (That creature returns under its owner's control.)",,,,,{1}{W},,,
Creature — Human Knight,Silverblade Paladin,,"Soulbond (You may pair this creature with another unpaired creature when either enters the battlefield. They remain paired for as long as you control both of them.)
As long as Silverblade Paladin is paired with another creature, both creatures have double strike.",,,2,2,{1}{W}{W},,,
Artifact,Simic Signet,,"{1}, {T}: Add {G}{U}.",,,,,{2},,,
Creature — Phyrexian Zombie,Skinrender,,"When Skinrender enters the battlefield, put three -1/-1 counters on target creature.",,,3,3,{2}{B}{B},,,
Legendary Artifact — Vehicle,"Skysovereign, Consul Flagship",,"Flying
Whenever Skysovereign, Consul Flagship enters the battlefield or attacks, it deals 3 damage to target creature or planeswalker an opponent controls.
Crew 3 (Tap any number of creatures you control with total power 3 or more: This Vehicle becomes an artifact creature until end of turn.)",,,5,6,{5},,,
Instant,Slaughter Pact,,"Destroy target nonblack creature.
At the beginning of your next upkeep, pay {2}{B}. If you don't, you lose the game.",,,,,{0},,,
Sorcery,Sleight of Hand,,Look at the top two cards of your library. Put one of them into your hand and the other on the bottom of your library.,,,,,{U},,,
Artifact — Vehicle,Smuggler's Copter,,"Flying
Whenever Smuggler's Copter attacks or blocks, you may draw a card. If you do, discard a card.
Crew 1 (Tap any number of creatures you control with total power 1 or more: This Vehicle becomes an artifact creature until end of turn.)",,,3,3,{2},,,
Creature — Human Wizard,Snapcaster Mage,,"Flash
When Snapcaster Mage enters the battlefield, target instant or sorcery card in your graveyard gains flashback until end of turn. The flashback cost is equal to its mana cost. (You may cast that card from your graveyard for its flashback cost. Then exile it.)",,,1,2,{1}{U},,,
Artifact Creature — Golem,Solemn Simulacrum,,"When Solemn Simulacrum enters the battlefield, you may search your library for a basic land card, put that card onto the battlefield tapped, then shuffle.
When Solemn Simulacrum dies, you may draw a card.",,,2,2,{4},,,
Artifact,Sorcerous Spyglass,,"As Sorcerous Spyglass enters the battlefield, look at an opponent's hand, then choose any card name.
Activated abilities of sources with the chosen name can't be activated unless they're mana abilities.",,,,,{2},,,
Legendary Planeswalker — Sorin,"Sorin, Grim Nemesis",,"+1: Reveal the top card of your library and put that card into your hand. Each opponent loses life equal to its mana value.
-X: Sorin, Grim Nemesis deals X damage to target creature or planeswalker and you gain X life.
-9: Create a number of 1/1 black Vampire Knight creature tokens with lifelink equal to the highest life total among all players.",,,,,{4}{W}{B},,,
Legendary Planeswalker — Sorin,"Sorin, Solemn Visitor",,"+1: Until your next turn, creatures you control get +1/+0 and gain lifelink.
-2: Create a 2/2 black Vampire creature token with flying.
-6: You get an emblem with ""At the beginning of each opponent's upkeep, that player sacrifices a creature.""",,,,,{2}{W}{B},,,
Creature — Faerie Wizard,Sower of Temptation,,"Flying
When Sower of Temptation enters the battlefield, gain control of target creature for as long as Sower of Temptation remains on the battlefield.",,,2,2,{2}{U}{U},,,
Legendary Enchantment Artifact,Spear of Heliod,,"Creatures you control get +1/+1.
{1}{W}{W}, {T}: Destroy target creature that dealt damage to you this turn.",,,,,{1}{W}{W},,,
Sorcery,Spectral Procession,,Create three 1/1 white Spirit creature tokens with flying.,,,,,{2/W}{2/W}{2/W},,,
Instant,Spell Pierce,,Counter target noncreature spell unless its controller pays {2}.,,,,,{U},,,
Creature — Spirit,Spell Queller,,"Flash
Flying
When Spell Queller enters the battlefield, exile target spell with mana value 4 or less.
When Spell Queller leaves the battlefield, the exiled card's owner may cast that card without paying its mana cost.",,,3,2,{1}{W}{U},,,
Artifact Creature — Phyrexian Horror,Spellskite,,{U/P}: Change a target of target spell or ability to Spellskite. ({U/P} can be paid with either {U} or 2 life.),,,4,0,{2},,,
Instant,Sphinx's Revelation,,You gain X life and draw X cards.,,,,,{X}{W}{U}{U},,,
Land,Spirebluff Canal,,"Spirebluff Canal enters the battlefield tapped unless you control two or fewer other lands.
{T}: Add {U} or {R}.",,,,,,,,
Artifact,Staff of Nin,,"At the beginning of your upkeep, draw a card.
{T}: Staff of Nin deals 1 damage to any target.",,,,,{6},,,
Land — Island Mountain,Steam Vents,,"({T}: Add {U} or {R}.)
As Steam Vents enters the battlefield, you may pay 2 life. If you don't, it enters the battlefield tapped.",,,,,,,,
Creature — Elf Knight,Steel Leaf Champion,,Steel Leaf Champion can't be blocked by creatures with power 2 or less.,,,4,5,{G}{G}{G},,,
Land,Stirring Wildwood,,"Stirring Wildwood enters the battlefield tapped.
{T}: Add {G} or {W}.
{1}{G}{W}: Until end of turn, Stirring Wildwood becomes a 3/4 green and white Elemental creature with reach. It's still a land.",,,,,,,,
Land — Mountain Forest,Stomping Ground,,"({T}: Add {R} or {G}.)
As Stomping Ground enters the battlefield, you may pay 2 life. If you don't, it enters the battlefield tapped.",,,,,,,,
Creature — Djinn Monk,Stratus Dancer,,"Flying
Megamorph {1}{U} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its megamorph cost and put a +1/+1 counter on it.)
When Stratus Dancer is turned face up, counter target instant or sorcery spell.",,,1,2,{1}{U},,,
Creature — Human Knight,Student of Warfare,,"Level up {W} ({W}: Put a level counter on this. Level up only as a sorcery.)
LEVEL 2-6
3/3
First strike
LEVEL 7+
4/4
Double strike",,,1,1,{W},,,
Creature — Angel,Sublime Archangel,,"Flying
Exalted (Whenever a creature you control attacks alone, that creature gets +1/+1 until end of turn.)
Other creatures you control have exalted. (If a creature has multiple instances of exalted, each triggers separately.)",,,3,4,{2}{W}{W},,,
Land,Sulfur Falls,,"Sulfur Falls enters the battlefield tapped unless you control an Island or a Mountain.
{T}: Add {U} or {R}.",,,,,,,,
Artifact Creature — Golem,Sundering Titan,,"When Sundering Titan enters or leaves the battlefield, choose a land of each basic land type, then destroy those lands.",,,10,7,{8},,,
Sorcery,Sunlance,,Sunlance deals 3 damage to target nonwhite creature.,,,,,{W},,,
Land,Sunpetal Grove,,"Sunpetal Grove enters the battlefield tapped unless you control a Forest or a Plains.
{T}: Add {G} or {W}.",,,,,,,,
Creature — Giant,Sun Titan,,"Vigilance
Whenever Sun Titan enters the battlefield or attacks, you may return target permanent card with mana value 3 or less from your graveyard to the battlefield.",,,6,6,{4}{W}{W},,,
Sorcery,Sweltering Suns,,"Sweltering Suns deals 3 damage to each creature.
Cycling {3} ({3}, Discard this card: Draw a card.)",,,,,{1}{R}{R},,,
Artifact — Equipment,Sword of Body and Mind,,"Equipped creature gets +2/+2 and has protection from green and from blue.
Whenever equipped creature deals combat damage to a player, you create a 2/2 green Wolf creature token and that player mills ten cards.
Equip {2}",,,,,{3},,,
Artifact — Equipment,Sword of Feast and Famine,,"Equipped creature gets +2/+2 and has protection from black and from green.
Whenever equipped creature deals combat damage to a player, that player discards a card and you untap all lands you control.
Equip {2}",,,,,{3},,,
Artifact — Equipment,Sword of Fire and Ice,,"Equipped creature gets +2/+2 and has protection from red and from blue.
Whenever equipped creature deals combat damage to a player, Sword of Fire and Ice deals 2 damage to any target and you draw a card.
Equip {2}",,,,,{3},,,
Artifact — Equipment,Sword of Light and Shadow,,"Equipped creature gets +2/+2 and has protection from white and from black.
Whenever equipped creature deals combat damage to a player, you gain 3 life and you may return up to one target creature card from your graveyard to your hand.
Equip {2}",,,,,{3},,,
Artifact — Equipment,Sword of War and Peace,,"Equipped creature gets +2/+2 and has protection from red and from white.
Whenever equipped creature deals combat damage to a player, Sword of War and Peace deals damage to that player equal to the number of cards in their hand and you gain 1 life for each card in your hand.
Equip {2}",,,,,{3},,,
Creature — Plant,Sylvan Caryatid,,"Defender, hexproof
{T}: Add one mana of any color.",,,3,0,{1}{G},,,
Legendary Planeswalker — Tamiyo,"Tamiyo, the Moon Sage",,"+1: Tap target permanent. It doesn't untap during its controller's next untap step.
-2: Draw a card for each tapped creature target player controls.
-8: You get an emblem with ""You have no maximum hand size"" and ""Whenever a card is put into your graveyard from anywhere, you may return it to your hand.""",,,,,{3}{U}{U},,,
Creature — Lhurgoyf,Tarmogoyf,,Tarmogoyf's power is equal to the number of card types among cards in all graveyards and its toughness is equal to that number plus 1.,,,1+*,*,{1}{G},,,
Legendary Creature — Human Shaman,"Tasigur, the Golden Fang",,"Delve (Each card you exile from your graveyard while casting this spell pays for {1}.)
{2}{G/U}{G/U}: Mill two cards, then return a nonland card of an opponent's choice from your graveyard to your hand.",,,5,4,{5}{B},,,
Legendary Creature — Merfolk Druid,"Tatyova, Benthic Druid",,"Landfall — Whenever a land enters the battlefield under your control, you gain 1 life and draw a card.",,,3,3,{3}{G}{U},,,
Land,Tectonic Edge,,"{T}: Add {C}.
{1}, {T}, Sacrifice Tectonic Edge: Destroy target nonbasic land. Activate only if an opponent controls four or more lands.",,,,,,,,
Legendary Planeswalker — Teferi,"Teferi, Hero of Dominaria",,"+1: Draw a card. At the beginning of the next end step, untap up to two lands.
-3: Put target nonland permanent into its owner's library third from the top.
-8: You get an emblem with ""Whenever you draw a card, exile target permanent an opponent controls.""",,,,,{3}{W}{U},,,
Legendary Creature — Human Wizard,"Teferi, Mage of Zhalfir",,"Flash
Creature cards you own that aren't on the battlefield have flash.
Each opponent can cast spells only any time they could cast a sorcery.",,,4,3,{2}{U}{U}{U},,,
Creature — Djinn,Tempest Djinn,,"Flying
Tempest Djinn gets +1/+0 for each basic Island you control.",,,4,0,{U}{U}{U},,,
Land — Forest Plains,Temple Garden,,"({T}: Add {G} or {W}.)
As Temple Garden enters the battlefield, you may pay 2 life. If you don't, it enters the battlefield tapped.",,,,,,,,
Sorcery,Temporal Mastery,,"Take an extra turn after this one. Exile Temporal Mastery.
Miracle {1}{U} (You may cast this card for its miracle cost when you draw it if it's the first card you drew this turn.)",,,,,{5}{U}{U},,,
Creature — Elephant,Terastodon,,"When Terastodon enters the battlefield, you may destroy up to three target noncreature permanents. For each permanent put into a graveyard this way, its controller creates a 3/3 green Elephant creature token.",,,9,9,{6}{G}{G},,,
Instant,Terminate,,Destroy target creature. It can't be regenerated.,,,,,{B}{R},,,
Sorcery,Terminus,,"Put all creatures on the bottom of their owners' libraries.
Miracle {W} (You may cast this card for its miracle cost when you draw it if it's the first card you drew this turn.)",,,,,{4}{W}{W},,,
Land,Terramorphic Expanse,,"{T}, Sacrifice Terramorphic Expanse: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle.",,,,,,,,
Legendary Creature — Human Soldier,"Thalia, Guardian of Thraben",,"First strike
Noncreature spells cost {1} more to cast.",,,1,2,{1}{W},,,
Legendary Creature — Human Soldier,"Thalia, Heretic Cathar",,"First strike
Creatures and nonbasic lands your opponents control enter the battlefield tapped.",,,2,3,{2}{W},,,
Legendary Enchantment Creature — God,"Thassa, God of the Sea",,"Indestructible
As long as your devotion to blue is less than five, Thassa isn't a creature. (Each {U} in the mana costs of permanents you control counts toward your devotion to blue.)
At the beginning of your upkeep, scry 1.
{1}{U}: Target creature you control can't be blocked this turn.",,,5,5,{2}{U},,,
Sorcery,The Elderspell,,Destroy any number of target planeswalkers. Choose a planeswalker you control. Put two loyalty counters on it for each planeswalker destroyed this way.,,,,,{B}{B},,,
Enchantment — Saga,The Eldest Reborn,,"(As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.)
I — Each opponent sacrifices a creature or planeswalker.
II — Each opponent discards a card.
III — Put target creature or planeswalker card from a graveyard onto the battlefield under your control.",,,,,{4}{B},,,
Legendary Artifact,The Immortal Sun,,"Players can't activate planeswalkers' loyalty abilities.
At the beginning of your draw step, draw an additional card.
Spells you cast cost {1} less to cast.
Creatures you control get +1/+1.",,,,,{6},,,
Legendary Creature — God,The Scarab God,,"At the beginning of your upkeep, each opponent loses X life and you scry X, where X is the number of Zombies you control.
{2}{U}{B}: Exile target creature card from a graveyard. Create a token that's a copy of it, except it's a 4/4 black Zombie.
When The Scarab God dies, return it to its owner's hand at the beginning of the next end step.",,,5,5,{3}{U}{B},,,
Creature — Horror,Thing in the Ice,Awoken Horror,"Defender
Thing in the Ice enters the battlefield with four ice counters on it.
Whenever you cast an instant or sorcery spell, remove an ice counter from Thing in the Ice. Then if it has no ice counters on it, transform it.",7,"When this creature transforms into Awoken Horror, return all non-Horror creatures to their owners' hands.",4,0,{1}{U},Creature — Kraken Horror,8,
Creature — Elf Warrior,Thorn Lieutenant,,"Whenever Thorn Lieutenant becomes the target of a spell or ability an opponent controls, create a 1/1 green Elf Warrior creature token.
{5}{G}: Thorn Lieutenant gets +4/+4 until end of turn.",,,3,2,{1}{G},,,
Instant,Thought Scour,,"Target player mills two cards.
Draw a card.",,,,,{U},,,
Sorcery,Thoughtseize,,Target player reveals their hand. You choose a nonland card from it. That player discards that card. You lose 2 life.,,,,,{B},,,
Creature — Human Soldier,Thraben Inspector,,"When Thraben Inspector enters the battlefield, investigate. (Create a Clue token. It's an artifact with ""{2}, Sacrifice this artifact: Draw a card."")",,,2,1,{W},,,
Creature — Beast,Thragtusk,,"When Thragtusk enters the battlefield, you gain 5 life.
When Thragtusk leaves the battlefield, create a 3/3 green Beast creature token.",,,3,5,{4}{G},,,
Enchantment — Aura,Threads of Disloyalty,,"Enchant creature with mana value 2 or less
You control enchanted creature.",,,,,{1}{U}{U},,,
Legendary Creature — Troll Shaman,"Thrun, the Last Troll",,"This spell can't be countered.
Hexproof (This creature can't be the target of spells or abilities your opponents control.)
{1}{G}: Regenerate Thrun, the Last Troll.",,,4,4,{2}{G}{G},,,
Creature — Dragon,Thunderbreak Regent,,"Flying
Whenever a Dragon you control becomes the target of a spell or ability an opponent controls, Thunderbreak Regent deals 3 damage to that player.",,,4,4,{2}{R}{R},,,
Creature — Dragon,Thundermaw Hellkite,,"Flying
Haste (This creature can attack and {T} as soon as it comes under your control.)
When Thundermaw Hellkite enters the battlefield, it deals 1 damage to each creature with flying your opponents control. Tap those creatures.",,,5,5,{3}{R}{R},,,
Artifact Creature — Zombie,Tidehollow Sculler,,"When Tidehollow Sculler enters the battlefield, target opponent reveals their hand and you choose a nonland card from it. Exile that card.
When Tidehollow Sculler leaves the battlefield, return the exiled card to its owner's hand.",,,2,2,{W}{B},,,
Sorcery,Timely Reinforcements,,"If you have less life than an opponent, you gain 6 life. If you control fewer creatures than an opponent, create three 1/1 white Soldier creature tokens.",,,,,{2}{W},,,
Sorcery,Time Warp,,Target player takes an extra turn after this one.,,,,,{3}{U}{U},,,
Creature — Human Scout,Tireless Tracker,,"Landfall — Whenever a land enters the battlefield under your control, investigate. (Create a Clue token. It's an artifact with ""{2}, Sacrifice this artifact: Draw a card."")
Whenever you sacrifice a Clue, put a +1/+1 counter on Tireless Tracker.",,,2,3,{2}{G},,,
Creature — Human Soldier,Tithe Taker,,"During your turn, spells your opponents cast cost {1} more to cast and abilities your opponents activate cost {1} more to activate unless they're mana abilities.
Afterlife 1 (When this creature dies, create a 1/1 white and black Spirit creature token with flying.)",,,1,2,{1}{W},,,
Sorcery,Tooth and Nail,,"Choose one —
• Search your library for up to two creature cards, reveal them, put them into your hand, then shuffle.
• Put up to two creature cards from your hand onto the battlefield.
Entwine {2} (Choose both if you pay the entwine cost.)",,,,,{5}{G}{G},,,
Artifact Creature — Construct,Torrential Gearhulk,,"Flash
When Torrential Gearhulk enters the battlefield, you may cast target instant card from your graveyard without paying its mana cost. If that spell would be put into your graveyard, exile it instead.",,,6,5,{4}{U}{U},,,
Artifact,Treasure Map,Treasure Cove,"{1}, {T}: Scry 1. Put a landmark counter on Treasure Map. Then if there are three or more landmark counters on it, remove those counters, transform Treasure Map, and create three Treasure tokens. (They're artifacts with ""{T}, Sacrifice this artifact: Add one mana of any color."")",,"(Transforms from Treasure Map.)
{T}: Add {C}.
{T}, Sacrifice a Treasure: Draw a card.",,,{2},Land,,
Land,Treetop Village,,"Treetop Village enters the battlefield tapped.
{T}: Add {G}.
{1}{G}: Treetop Village becomes a 3/3 green Ape creature with trample until end of turn. It's still a land. (It can deal excess combat damage to the player or planeswalker it's attacking.)",,,,,,,,
Legendary Creature — Dryad,Trostani Discordant,,"Other creatures you control get +1/+1.
When Trostani Discordant enters the battlefield, create two 1/1 white Soldier creature tokens with lifelink.
At the beginning of your end step, each player gains control of all creatures they own.",,,4,1,{3}{G}{W},,,
Legendary Planeswalker — Ugin,"Ugin, the Spirit Dragon",,"+2: Ugin, the Spirit Dragon deals 3 damage to any target.
-X: Exile each permanent with mana value X or less that's one or more colors.
-10: You gain 7 life, draw seven cards, then put up to seven permanent cards from your hand onto the battlefield.",,,,,{8},,,
Legendary Creature — Eldrazi,"Ulamog, the Ceaseless Hunger",,"When you cast this spell, exile two target permanents.
Indestructible
Whenever Ulamog, the Ceaseless Hunger attacks, defending player exiles the top twenty cards of their library.",,,10,10,{10},,,
Instant,Ultimate Price,,Destroy target monocolored creature.,,,,,{1}{B},,,
Sorcery,Unburial Rites,,"Return target creature card from your graveyard to the battlefield.
Flashback {3}{W} (You may cast this card from your graveyard for its flashback cost. Then exile it.)",,,,,{4}{B},,,
Enchantment — Aura,Underworld Connections,,"Enchant land
Enchanted land has ""{T}, Pay 1 life: Draw a card.""",,,,,{1}{B}{B},,,
Legendary Creature — Human Artificer,"Urza, Lord High Artificer",,"When Urza, Lord High Artificer enters the battlefield, create a 0/0 colorless Construct artifact creature token with ""This creature gets +1/+1 for each artifact you control.""
Tap an untapped artifact you control: Add {U}.
{5}: Shuffle your library, then exile the top card. Until end of turn, you may play that card without paying its mana cost.",,,4,1,{2}{U}{U},,,
Enchantment — Aura,Utopia Sprawl,,"Enchant Forest
As Utopia Sprawl enters the battlefield, choose a color.
Whenever enchanted Forest is tapped for mana, its controller adds an additional one mana of the chosen color.",,,,,{G},,,
Creature — Vampire Shaman,Vampire Hexmage,,"First strike
Sacrifice Vampire Hexmage: Remove all counters from target permanent.",,,1,2,{B}{B},,,
Creature — Vampire Shaman,Vampire Nighthawk,,"Flying, deathtouch, lifelink",,,3,2,{1}{B}{B},,,
Legendary Creature — Faerie Wizard,Vendilion Clique,,"Flash
Flying
When Vendilion Clique enters the battlefield, look at target player's hand. You may choose a nonland card from it. If you do, that player reveals the chosen card, puts it on the bottom of their library, then draws a card.",,,1,3,{1}{U}{U},,,
Creature — Elephant Cleric,Venerated Loxodon,,"Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)
When Venerated Loxodon enters the battlefield, put a +1/+1 counter on each creature that convoked it.",,,4,4,{4}{W},,,
Legendary Creature — Human Wizard,"Venser, Shaper Savant",,"Flash
When Venser, Shaper Savant enters the battlefield, return target spell or permanent to its owner's hand.",,,2,2,{2}{U}{U},,,
Land,Verdant Catacombs,,"{T}, Pay 1 life, Sacrifice Verdant Catacombs: Search your library for a Swamp or Forest card, put it onto the battlefield, then shuffle.",,,,,,,,
Artifact Creature — Construct,Verdurous Gearhulk,,"Trample
When Verdurous Gearhulk enters the battlefield, distribute four +1/+1 counters among any number of target creatures you control.",,,4,4,{3}{G}{G},,,
Legendary Planeswalker — Vivien,Vivien Reid,,"+1: Look at the top four cards of your library. You may reveal a creature or land card from among them and put it into your hand. Put the rest on the bottom of your library in a random order.
-3: Destroy target artifact, enchantment, or creature with flying.
-8: You get an emblem with ""Creatures you control get +2/+2 and have vigilance, trample, and indestructible.""",,,,,{3}{G}{G},,,
Creature — Shapeshifter Cleric,Vizier of Many Faces,,"You may have Vizier of Many Faces enter the battlefield as a copy of any creature on the battlefield, except if Vizier of Many Faces was embalmed, the token has no mana cost, it's white, and it's a Zombie in addition to its other types.
Embalm {3}{U}{U}",,,0,0,{2}{U}{U},,,
Creature — Elemental,Voice of Resurgence,,"Whenever an opponent casts a spell during your turn or when Voice of Resurgence dies, create a green and white Elemental creature token with ""This creature's power and toughness are each equal to the number of creatures you control.""",,,2,2,{G}{W},,,
Legendary Planeswalker — Vraska,"Vraska, Relic Seeker",,"+2: Create a 2/2 black Pirate creature token with menace.
-3: Destroy target artifact, creature, or enchantment. Create a Treasure token. (It's an artifact with ""{T}, Sacrifice this artifact: Add one mana of any color."")
-10: Target player's life total becomes 1.",,,,,{4}{B}{G},,,
Instant,Vraska's Contempt,,Exile target creature or planeswalker. You gain 2 life.,,,,,{2}{B}{B},,,
Artifact Creature — Construct,Walking Ballista,,"Walking Ballista enters the battlefield with X +1/+1 counters on it.
{4}: Put a +1/+1 counter on Walking Ballista.
Remove a +1/+1 counter from Walking Ballista: It deals 1 damage to any target.",,,0,0,{X}{X},,,
Creature — Wall,Wall of Omens,,"Defender
When Wall of Omens enters the battlefield, draw a card.",,,4,0,{1}{W},,,
Land,Wandering Fumarole,,"Wandering Fumarole enters the battlefield tapped.
{T}: Add {U} or {R}.
{2}{U}{R}: Until end of turn, Wandering Fumarole becomes a 1/4 blue and red Elemental creature with ""{0}: Switch this creature's power and toughness until end of turn."" It's still a land.",,,,,,,,
Land — Island Swamp,Watery Grave,,"({T}: Add {U} or {B}.)
As Watery Grave enters the battlefield, you may pay 2 life. If you don't, it enters the battlefield tapped.",,,,,,,,
Land,Westvale Abbey,"Ormendahl, Profane Prince","{T}: Add {C}.
{5}, {T}, Pay 1 life: Create a 1/1 white and black Human Cleric creature token.
{5}, {T}, Sacrifice five creatures: Transform Westvale Abbey, then untap it.",9,"Flying, lifelink, indestructible, haste",,,,Legendary Creature — Demon,7,
Sorcery,Whipflare,,Whipflare deals 2 damage to each nonartifact creature.,,,,,{1}{R},,,
Legendary Enchantment Artifact,Whip of Erebos,,"Creatures you control have lifelink.
{2}{B}{B}, {T}: Return target creature card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step. If it would leave the battlefield, exile it instead of putting it anywhere else. Activate only as a sorcery.",,,,,{2}{B}{B},,,
Creature — Human Rogue Artificer,Whirler Rogue,,"When Whirler Rogue enters the battlefield, create two 1/1 colorless Thopter artifact creature tokens with flying.
Tap two untapped artifacts you control: Target creature can't be blocked this turn.",,,2,2,{2}{U}{U},,,
Creature — Elemental,Whisperwood Elemental,,"At the beginning of your end step, manifest the top card of your library. (Put it onto the battlefield face down as a 2/2 creature. Turn it face up any time for its mana cost if it's a creature card.)
Sacrifice Whisperwood Elemental: Until end of turn, face-up nontoken creatures you control gain ""When this creature dies, manifest the top card of your library.""",,,4,4,{3}{G}{G},,,
Sorcery,Wildfire,,Each player sacrifices four lands. Wildfire deals 4 damage to each creature.,,,,,{4}{R}{R},,,
Land,Windbrisk Heights,,"Hideaway 4 (When this land enters the battlefield, look at the top four cards of your library, exile one face down, then put the rest on the bottom in a random order.)
Windbrisk Heights enters the battlefield tapped.
{T}: Add {W}.
{W}, {T}: You may play the exiled card without paying its mana cost if you attacked with three or more creatures this turn.",,,,,,,,
Land,Windswept Heath,,"{T}, Pay 1 life, Sacrifice Windswept Heath: Search your library for a Forest or Plains card, put it onto the battlefield, then shuffle.",,,,,,,,
Creature — Wolf Warrior,Wolfir Silverheart,,"Soulbond (You may pair this creature with another unpaired creature when either enters the battlefield. They remain paired for as long as you control both of them.)
As long as Wolfir Silverheart is paired with another creature, each of those creatures gets +4/+4.",,,4,4,{3}{G}{G},,,
Land,Wooded Foothills,,"{T}, Pay 1 life, Sacrifice Wooded Foothills: Search your library for a Mountain or Forest card, put it onto the battlefield, then shuffle.",,,,,,,,
Creature — Treefolk Shaman,Woodfall Primus,,"Trample
When Woodfall Primus enters the battlefield, destroy target noncreature permanent.
Persist (When this creature dies, if it had no -1/-1 counters on it, return it to the battlefield under its owner's control with a -1/-1 counter on it.)",,,6,6,{5}{G}{G}{G},,,
Land,Woodland Cemetery,,"Woodland Cemetery enters the battlefield tapped unless you control a Swamp or a Forest.
{T}: Add {B} or {G}.",,,,,,,,
Sorcery,Wrath of God,,Destroy all creatures. They can't be regenerated.,,,,,{2}{W}{W},,,
Legendary Planeswalker — Wrenn,Wrenn and Six,,"+1: Return up to one target land card from your graveyard to your hand.
-1: Wrenn and Six deals 1 damage to any target.
-7: You get an emblem with ""Instant and sorcery cards in your graveyard have retrace."" (You may cast instant and sorcery cards from your graveyard by discarding a land card in addition to paying their other costs.)",,,,,{R}{G},,,
Artifact Creature — Phyrexian Wurm,Wurmcoil Engine,,"Deathtouch, lifelink
When Wurmcoil Engine dies, create a 3/3 colorless Phyrexian Wurm artifact creature token with deathtouch and a 3/3 colorless Phyrexian Wurm artifact creature token with lifelink.",,,6,6,{6},,,
Legendary Planeswalker — Xenagos,"Xenagos, the Reveler",,"+1: Add X mana in any combination of {R} and/or {G}, where X is the number of creatures you control.
0: Create a 2/2 red and green Satyr creature token with haste.
-6: Exile the top seven cards of your library. You may put any number of creature and/or land cards from among them onto the battlefield.",,,,,{2}{R}{G},,,
Legendary Creature — Human Cleric,"Yawgmoth, Thran Physician",,"Protection from Humans
Pay 1 life, Sacrifice another creature: Put a -1/-1 counter on up to one target creature and draw a card.
{B}{B}, Discard a card: Proliferate. (Choose any number of permanents and/or players, then give each another counter of each kind already there.)",,,4,2,{2}{B}{B},,,
Creature — Human Shaman,Young Pyromancer,,"Whenever you cast an instant or sorcery spell, create a 1/1 red Elemental creature token.",,,1,2,{1}{R},,,
Creature — Human Warrior,Zealous Conscripts,,"Haste
When Zealous Conscripts enters the battlefield, gain control of target permanent until end of turn. Untap that permanent. It gains haste until end of turn.",,,3,3,{4}{R},,,
